=== Running model: EleutherAI/pythia-2.8b (array task 9, batch_size 128) ===
EleutherAI/pythia-2.8b fineweb
Subsampled later checkpoints to 50
Total checkpoints: 58 (8 early + 50 later)
Loaded 2000 cached sequences from data/cache/filtered_texts_fineweb_2000.json
Processing 58 remaining checkpoints...
Step 0: rankme=230.464, alpha=0.877, r2_100=0.994
Step 8: rankme=230.464, alpha=0.877, r2_100=0.994
Step 16: rankme=230.464, alpha=0.877, r2_100=0.994
Step 32: rankme=230.464, alpha=0.877, r2_100=0.994
Step 64: rankme=230.464, alpha=0.877, r2_100=0.994
Step 128: rankme=230.464, alpha=0.877, r2_100=0.994
Step 256: rankme=230.464, alpha=0.877, r2_100=0.994
Step 512: rankme=230.464, alpha=0.877, r2_100=0.994
Step 1000: rankme=230.464, alpha=0.877, r2_100=0.994
HF cache API failed for step3000: [Errno 2] No such file or directory: '/gpfs/work5/0/prjs1815/hf_cache/hub/models--EleutherAI--pythia-1b/snapshots/2508971c5328341066b71ae6b648fe39eee8533d', trying forced cleanup...
Step 3000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 6000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 9000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 12000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 15000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 18000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 21000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 24000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 27000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 29000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 32000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 35000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 38000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 41000: rankme=230.464, alpha=0.877, r2_100=0.994
Step 44000: rankme=230.464, alpha=0.877, r2_100=0.994
