=== Computing metrics from saved activations ===
--- pythia-14m ---
Computing metrics for 58/58 steps using 18 workers...
  Step 32: rankme=55.493, alpha=1.092, r2_100=0.968
  Step 24000: rankme=109.399, alpha=0.753, r2_100=0.999
  Step 27000: rankme=110.164, alpha=0.729, r2_100=0.999
  Step 134000: rankme=121.478, alpha=0.675, r2_100=0.999
  Step 38000: rankme=102.200, alpha=0.772, r2_100=0.999
  Step 53000: rankme=85.333, alpha=0.816, r2_100=0.999
  Step 8: rankme=50.724, alpha=1.096, r2_100=0.971
  Step 137000: rankme=122.336, alpha=0.674, r2_100=0.999
  Step 15000: rankme=114.536, alpha=0.732, r2_100=0.999
  Step 512: rankme=37.377, alpha=1.372, r2_100=0.993
  Step 102000: rankme=133.014, alpha=0.644, r2_100=0.999
  Step 21000: rankme=113.323, alpha=0.737, r2_100=0.999
  Step 18000: rankme=113.937, alpha=0.732, r2_100=0.999
  Step 108000: rankme=127.393, alpha=0.669, r2_100=0.999
  Step 9000: rankme=111.953, alpha=0.751, r2_100=0.999
  Step 56000: rankme=84.051, alpha=0.830, r2_100=0.999
  Step 67000: rankme=82.063, alpha=0.850, r2_100=0.999
  Step 1000: rankme=69.510, alpha=0.983, r2_100=0.993
  Step 105000: rankme=134.448, alpha=0.653, r2_100=0.999
Saved 58 results to results/results_pythia-31m.npy
--- pythia-70m ---
Computing metrics for 58/58 steps using 18 workers...
  Step 0: rankme=79.687, alpha=0.811, r2_100=0.983
  Step 16: rankme=77.328, alpha=0.809, r2_100=0.981
  Step 6000: rankme=206.431, alpha=0.732, r2_100=0.997
  Step 125000: rankme=230.525, alpha=0.632, r2_100=0.999
  Step 41000: rankme=129.710, alpha=0.778, r2_100=0.996
  Step 99000: rankme=193.214, alpha=0.714, r2_100=0.999
  Step 128: rankme=12.795, alpha=1.667, r2_100=0.997
  Step 64000: rankme=100.534, alpha=0.879, r2_100=0.991
  Step 3000: rankme=184.053, alpha=0.769, r2_100=0.999
  Step 87000: rankme=152.837, alpha=0.818, r2_100=0.999
  Step 256: rankme=28.589, alpha=1.367, r2_100=0.999
  Step 76000: rankme=110.675, alpha=0.905, r2_100=0.995
  Step 119000: rankme=227.168, alpha=0.641, r2_100=0.999
  Step 96000: rankme=189.113, alpha=0.721, r2_100=0.999
  Step 131000: rankme=236.791, alpha=0.634, r2_100=0.999
  Step 32000: rankme=142.765, alpha=0.753, r2_100=0.996
  Step 82000: rankme=132.676, alpha=0.873, r2_100=0.997
  Step 70000: rankme=100.896, alpha=0.900, r2_100=0.991
  Step 61000: rankme=95.740, alpha=0.842, r2_100=0.993
  Step 85000: rankme=141.766, alpha=0.858, r2_100=0.998
  Step 73000: rankme=106.320, alpha=0.886, r2_100=0.990
  Step 90000: rankme=164.659, alpha=0.789, r2_100=0.999
  Step 44000: rankme=124.394, alpha=0.771, r2_100=0.995
  Step 58000: rankme=101.489, alpha=0.826, r2_100=0.994
  Step 47000: rankme=118.699, alpha=0.785, r2_100=0.996
  Step 143000: rankme=241.888, alpha=0.636, r2_100=0.999
  Step 12000: rankme=195.463, alpha=0.730, r2_100=0.995
  Step 122000: rankme=228.767, alpha=0.635, r2_100=0.999
  Step 111000: rankme=216.484, alpha=0.650, r2_100=0.999
