=== Running model: EleutherAI/pythia-1b (array task 6, batch_size 128) ===
EleutherAI/pythia-1b fineweb
Subsampled later checkpoints to 50
Total checkpoints: 58 (8 early + 50 later)
Loaded 2000 cached sequences from data/cache/filtered_texts_fineweb_2000.json
Processing 48 remaining checkpoints...
Step 3000: rankme=351.350, alpha=0.733, r2_100=0.999
Step 6000: rankme=418.015, alpha=0.695, r2_100=0.999
Step 9000: rankme=442.138, alpha=0.689, r2_100=0.998
Step 12000: rankme=451.146, alpha=0.696, r2_100=0.997
Step 15000: rankme=452.066, alpha=0.687, r2_100=0.997
Step 18000: rankme=444.920, alpha=0.686, r2_100=0.996
Step 21000: rankme=429.430, alpha=0.685, r2_100=0.996
Step 24000: rankme=425.187, alpha=0.684, r2_100=0.997
Step 27000: rankme=419.051, alpha=0.687, r2_100=0.995
Step 29000: rankme=413.809, alpha=0.683, r2_100=0.996
Step 32000: rankme=401.886, alpha=0.690, r2_100=0.996
Step 35000: rankme=385.902, alpha=0.700, r2_100=0.998
Step 38000: rankme=377.915, alpha=0.691, r2_100=0.996
Step 41000: rankme=366.278, alpha=0.689, r2_100=0.996
Step 44000: rankme=346.174, alpha=0.698, r2_100=0.997
Step 47000: rankme=338.938, alpha=0.697, r2_100=0.997
Step 50000: rankme=323.154, alpha=0.701, r2_100=0.996
Step 53000: rankme=311.235, alpha=0.709, r2_100=0.997
Step 56000: rankme=312.613, alpha=0.705, r2_100=0.997
Step 58000: rankme=295.514, alpha=0.711, r2_100=0.996
Step 61000: rankme=285.625, alpha=0.718, r2_100=0.997
Step 64000: rankme=286.765, alpha=0.724, r2_100=0.996
Step 67000: rankme=277.031, alpha=0.721, r2_100=0.997
Step 70000: rankme=270.769, alpha=0.725, r2_100=0.996
Step 73000: rankme=260.901, alpha=0.734, r2_100=0.995
Step 76000: rankme=259.560, alpha=0.735, r2_100=0.996
Step 79000: rankme=255.423, alpha=0.743, r2_100=0.995
Step 82000: rankme=245.220, alpha=0.747, r2_100=0.996
Step 85000: rankme=243.879, alpha=0.752, r2_100=0.995
Step 87000: rankme=246.583, alpha=0.757, r2_100=0.996
Step 90000: rankme=237.063, alpha=0.763, r2_100=0.996
Step 93000: rankme=232.906, alpha=0.771, r2_100=0.995
Step 96000: rankme=224.094, alpha=0.772, r2_100=0.996
Step 99000: rankme=220.920, alpha=0.779, r2_100=0.996
Step 105000: rankme=220.090, alpha=0.791, r2_100=0.996
Step 108000: rankme=220.700, alpha=0.801, r2_100=0.995
Step 111000: rankme=209.622, alpha=0.812, r2_100=0.995
Step 114000: rankme=210.364, alpha=0.815, r2_100=0.995
Step 116000: rankme=132.612, alpha=0.882, r2_100=0.995
Step 119000: rankme=207.402, alpha=0.823, r2_100=0.995
Step 122000: rankme=208.130, alpha=0.825, r2_100=0.995
Step 125000: rankme=205.802, alpha=0.829, r2_100=0.995
Step 128000: rankme=206.149, alpha=0.831, r2_100=0.995
Step 131000: rankme=204.061, alpha=0.836, r2_100=0.995
Step 134000: rankme=204.115, alpha=0.837, r2_100=0.995
