=== Computing metrics from saved activations ===
--- pythia-14m ---
All 58 steps already have metrics in results/results_pythia-14m.npy
--- pythia-31m ---
All 58 steps already have metrics in results/results_pythia-31m.npy
--- pythia-70m ---
All 58 steps already have metrics in results/results_pythia-70m.npy
--- pythia-160m ---
All 58 steps already have metrics in results/results_pythia-160m.npy
--- pythia-160m-deduped ---
All 58 steps already have metrics in results/results_pythia-160m-deduped.npy
--- pythia-410m ---
All 58 steps already have metrics in results/results_pythia-410m.npy
--- pythia-410m-deduped ---
All 58 steps already have metrics in results/results_pythia-410m-deduped.npy
--- pythia-1b ---
All 58 steps already have metrics in results/results_pythia-1b.npy
--- pythia-1b-deduped ---
Computing metrics for 58/58 steps using 18 workers...
  Step 143000: rankme=231.075, alpha=0.954, r2_100=0.997
  Step 12000: rankme=562.597, alpha=0.759, r2_100=0.999
  Step 47000: rankme=458.795, alpha=0.778, r2_100=0.998
  Step 79000: rankme=329.762, alpha=0.840, r2_100=0.997
  Step 140000: rankme=233.755, alpha=0.953, r2_100=0.997
  Step 111000: rankme=251.366, alpha=0.921, r2_100=0.997
  Step 116000: rankme=254.275, alpha=0.929, r2_100=0.996
  Step 29000: rankme=562.904, alpha=0.752, r2_100=0.999
  Step 93000: rankme=288.470, alpha=0.878, r2_100=0.997
  Step 32: rankme=6.135, alpha=1.065, r2_100=0.928
  Step 50000: rankme=434.767, alpha=0.786, r2_100=0.998
  Step 38000: rankme=514.328, alpha=0.758, r2_100=0.998
  Step 8: rankme=168.390, alpha=0.711, r2_100=0.992
  Step 53000: rankme=436.636, alpha=0.786, r2_100=0.998
  Step 27000: rankme=561.826, alpha=0.756, r2_100=0.999
  Step 15000: rankme=573.804, alpha=0.755, r2_100=0.999
  Step 134000: rankme=234.116, alpha=0.951, r2_100=0.997
  Step 137000: rankme=235.745, alpha=0.951, r2_100=0.997
  Step 512: rankme=59.737, alpha=1.204, r2_100=0.995
  Step 24000: rankme=560.623, alpha=0.760, r2_100=0.999
  Step 18000: rankme=570.069, alpha=0.762, r2_100=0.999
  Step 102000: rankme=265.237, alpha=0.903, r2_100=0.997
  Step 9000: rankme=531.398, alpha=0.763, r2_100=0.999
  Step 21000: rankme=572.152, alpha=0.753, r2_100=0.999
  Step 108000: rankme=259.118, alpha=0.915, r2_100=0.997
  Step 1000: rankme=165.193, alpha=0.898, r2_100=0.998
  Step 105000: rankme=261.367, alpha=0.905, r2_100=0.997
  Step 56000: rankme=414.585, alpha=0.792, r2_100=0.998
  Step 67000: rankme=369.955, alpha=0.816, r2_100=0.998
Saved 58 results to results/results_pythia-1.4b.npy
--- pythia-1.4b-deduped ---
Computing metrics for 58/58 steps using 18 workers...
  Step 41000: rankme=380.580, alpha=0.736, r2_100=0.998
  Step 119000: rankme=212.414, alpha=0.874, r2_100=0.999
  Step 128: rankme=12.668, alpha=1.623, r2_100=0.997
  Step 6000: rankme=462.052, alpha=0.718, r2_100=1.000
  Step 64000: rankme=266.073, alpha=0.769, r2_100=0.998
  Step 87000: rankme=235.560, alpha=0.812, r2_100=0.999
  Step 131000: rankme=209.576, alpha=0.903, r2_100=0.999
  Step 70000: rankme=257.588, alpha=0.779, r2_100=0.999
  Step 3000: rankme=377.093, alpha=0.745, r2_100=1.000
  Step 99000: rankme=231.026, alpha=0.832, r2_100=0.998
  Step 32000: rankme=413.882, alpha=0.713, r2_100=0.999
  Step 0: rankme=175.432, alpha=0.699, r2_100=0.994
  Step 96000: rankme=222.609, alpha=0.823, r2_100=0.998
  Step 82000: rankme=230.147, alpha=0.799, r2_100=0.998
  Step 16: rankme=197.241, alpha=0.920, r2_100=0.999
  Step 125000: rankme=214.292, alpha=0.894, r2_100=0.999
  Step 256: rankme=21.960, alpha=1.574, r2_100=0.993
  Step 76000: rankme=239.227, alpha=0.791, r2_100=0.998
  Step 85000: rankme=230.876, alpha=0.809, r2_100=0.998
  Step 58000: rankme=283.076, alpha=0.768, r2_100=0.999
  Step 44000: rankme=341.507, alpha=0.744, r2_100=0.998
  Step 61000: rankme=285.083, alpha=0.761, r2_100=0.998
  Step 73000: rankme=241.865, alpha=0.782, r2_100=0.999
  Step 90000: rankme=232.189, alpha=0.812, r2_100=0.999
  Step 35000: rankme=385.822, alpha=0.723, r2_100=0.999
  Step 122000: rankme=207.110, alpha=0.880, r2_100=0.999
  Step 114000: rankme=219.982, alpha=0.873, r2_100=0.999
  Step 47000: rankme=334.500, alpha=0.748, r2_100=0.998
  Step 128000: rankme=212.941, alpha=0.898, r2_100=0.999
  Step 12000: rankme=509.613, alpha=0.704, r2_100=0.999
  Step 64: rankme=9.287, alpha=1.641, r2_100=0.982
  Step 140000: rankme=204.208, alpha=0.910, r2_100=0.998
  Step 143000: rankme=197.241, alpha=0.920, r2_100=0.999
  Step 79000: rankme=237.703, alpha=0.793, r2_100=0.998
  Step 111000: rankme=217.141, alpha=0.853, r2_100=0.999
  Step 116000: rankme=219.692, alpha=0.878, r2_100=0.999
  Step 29000: rankme=429.895, alpha=0.709, r2_100=0.999
  Step 93000: rankme=227.124, alpha=0.821, r2_100=0.998
  Step 32: rankme=6.037, alpha=1.046, r2_100=0.931
  Step 38000: rankme=377.926, alpha=0.733, r2_100=0.999
  Step 50000: rankme=319.482, alpha=0.753, r2_100=0.998
  Step 53000: rankme=313.174, alpha=0.753, r2_100=0.998
  Step 134000: rankme=206.496, alpha=0.906, r2_100=0.999
  Step 24000: rankme=463.379, alpha=0.707, r2_100=0.999
  Step 27000: rankme=431.760, alpha=0.712, r2_100=0.999
  Step 15000: rankme=498.526, alpha=0.707, r2_100=0.999
  Step 8: rankme=168.424, alpha=0.711, r2_100=0.992
  Step 137000: rankme=202.643, alpha=0.911, r2_100=0.998
  Step 18000: rankme=488.251, alpha=0.710, r2_100=0.999
  Step 9000: rankme=497.775, alpha=0.716, r2_100=0.999
  Step 102000: rankme=227.326, alpha=0.839, r2_100=0.998
  Step 512: rankme=53.080, alpha=1.225, r2_100=0.996
  Step 21000: rankme=466.689, alpha=0.707, r2_100=0.999
  Step 108000: rankme=222.812, alpha=0.859, r2_100=0.999
  Step 1000: rankme=154.834, alpha=0.871, r2_100=0.997
  Step 105000: rankme=215.185, alpha=0.846, r2_100=0.998
  Step 56000: rankme=289.705, alpha=0.762, r2_100=0.998
  Step 67000: rankme=264.424, alpha=0.773, r2_100=0.998
Saved 58 results to results/results_pythia-1.4b-deduped.npy
--- pythia-2.8b ---
Computing metrics for 58/58 steps using 18 workers...
  Step 6000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 0: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 99000: rankme=311.870, alpha=0.879, r2_100=0.998
  Step 128: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 70000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 16: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 32000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 41000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 87000: rankme=334.645, alpha=0.850, r2_100=0.998
  Step 76000: rankme=352.340, alpha=0.840, r2_100=0.998
  Step 256: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 96000: rankme=319.613, alpha=0.866, r2_100=0.998
  Step 64000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 125000: rankme=281.611, alpha=0.929, r2_100=0.998
  Step 3000: rankme=270.959, alpha=0.945, r2_100=0.998
  Step 119000: rankme=289.449, alpha=0.915, r2_100=0.998
  Step 82000: rankme=331.247, alpha=0.845, r2_100=0.997
  Step 131000: rankme=283.548, alpha=0.928, r2_100=0.998
