=== Running model: EleutherAI/pythia-6.9b (array task 11, batch_size 128) ===
EleutherAI/pythia-6.9b fineweb
Subsampled later checkpoints to 50
Total checkpoints: 58 (8 early + 50 later)
Loaded 2000 cached sequences from data/cache/filtered_texts_fineweb_2000.json
Processing 50 remaining checkpoints...
Step 1000: rankme=80.389, alpha=1.192, r2_100=0.999
Step 3000: rankme=272.321, alpha=0.872, r2_100=0.999
Step 6000: rankme=389.366, alpha=0.791, r2_100=0.999
Step 9000: rankme=431.131, alpha=0.766, r2_100=0.999
Step 12000: rankme=479.591, alpha=0.738, r2_100=0.998
Step 15000: rankme=493.140, alpha=0.723, r2_100=0.998
Step 18000: rankme=505.271, alpha=0.719, r2_100=0.999
Step 21000: rankme=529.248, alpha=0.707, r2_100=0.998
Step 24000: rankme=529.142, alpha=0.709, r2_100=0.998
Step 27000: rankme=542.450, alpha=0.702, r2_100=0.997
Step 29000: rankme=529.253, alpha=0.703, r2_100=0.997
Step 32000: rankme=539.180, alpha=0.689, r2_100=0.997
Step 35000: rankme=531.617, alpha=0.697, r2_100=0.998
Step 38000: rankme=526.026, alpha=0.686, r2_100=0.997
Step 41000: rankme=506.851, alpha=0.691, r2_100=0.997
Step 44000: rankme=498.834, alpha=0.691, r2_100=0.997
Step 47000: rankme=487.231, alpha=0.701, r2_100=0.997
Step 50000: rankme=482.403, alpha=0.691, r2_100=0.997
